Tanggal,Temperatur minimum (°C),Temperatur maksimum (°C),Temperatur rata-rata (°C),Kelembapan rata-rata (%),Curah hujan (mm),Lamanya penyinaran matahari (jam),Kecepatan angin maksimum (m/s),Kecepatan angin rata-rata (m/s),Label,season_Musim Hujan
2008-09-09,21.0,31.2,25.8,84.0,6.1,5.3,5.0,1.0,0,0
2008-09-10,22.0,32.2,24.4,88.0,5.1,5.7,8.0,1.0,0,0
2008-09-11,23.0,31.6,26.0,85.0,11.8,3.9,2.0,1.0,0,0
2008-09-12,23.0,32.0,26.5,82.0,10.0,5.3,0.0,1.0,0,0
2008-09-13,22.0,31.4,26.7,82.0,0.0,1.0,1.0,0.0,0,0
2008-09-14,21.0,31.4,24.8,88.0,0.0,2.9,2.0,0.0,0,0
2008-09-15,21.0,33.7,26.4,72.0,7.2,7.9,3.0,0.0,0,0
2008-09-16,22.0,32.6,26.4,75.0,0.0,8.0,4.0,1.0,0,0
2008-09-17,22.0,33.6,27.2,78.0,0.2,8.0,2.0,1.0,0,0
2008-09-18,23.0,34.2,26.8,76.0,0.0,7.7,2.0,1.0,0,0
2008-09-19,23.0,33.8,27.2,75.0,1.25,7.8,2.0,1.0,0,0
2008-09-20,23.0,34.0,27.5,72.0,2.5,8.0,1.0,1.0,0,0
2008-09-21,21.0,34.0,25.5,84.0,0.0,7.4,3.0,1.0,0,0
2008-09-22,21.0,33.4,25.0,81.0,12.0,7.8,4.0,1.0,0,0
2008-09-23,21.0,33.7,26.2,78.0,15.4,8.0,2.0,2.0,0,0
2008-09-24,19.0,33.7,25.5,81.0,1.3,7.2,4.0,1.0,0,0
2008-09-25,22.0,32.6,24.8,81.0,80.2,8.0,2.0,1.0,0,0
2008-09-26,21.0,32.8,25.5,82.0,2.0,7.2,1.0,1.0,0,0
2008-09-27,22.0,33.2,26.1,77.0,0.4,8.0,2.0,1.0,0,0
2008-09-28,23.0,33.0,25.4,84.0,0.0,7.1,2.0,2.0,0,0
2008-09-29,22.0,33.1,25.6,85.0,24.5,8.0,3.0,1.0,0,0
2008-09-30,19.0,33.0,25.8,78.0,95.5,8.0,3.0,1.0,0,0
2008-10-01,19.0,32.0,26.4,87.0,59.1,6.6,3.0,1.0,0,1
2008-10-02,20.0,32.1,26.2,86.0,14.7,7.1,1.0,1.0,0,1
2008-10-03,23.0,33.4,27.6,82.0,0.0,7.0,1.0,0.0,0,1
2008-10-04,22.0,33.4,27.6,85.0,13.6,6.5,4.0,1.0,0,1
2008-10-05,22.0,31.2,26.7,88.0,27.2,3.8,3.0,1.0,0,1
2008-10-06,21.0,31.6,26.1,89.0,9.5,7.5,2.0,0.0,0,1
2008-10-07,21.0,31.8,26.9,88.0,17.3,6.6,2.0,1.0,0,1
2008-10-08,21.0,31.6,27.0,84.0,6.0,5.2,2.0,1.0,0,1
2008-10-09,22.0,32.2,27.0,81.0,0.0,4.8,2.0,0.0,0,1
2008-10-10,22.0,33.6,26.3,82.0,3.8,7.2,2.0,1.0,0,1
2008-10-11,23.0,31.5,25.7,92.0,7.6,5.1,2.0,0.0,0,1
2008-10-12,23.0,32.2,27.6,82.0,9.6,7.4,1.0,1.0,0,1
2008-10-13,23.0,33.2,26.6,80.0,0.0,4.9,2.0,0.0,0,1
2008-10-14,23.0,33.5,27.7,82.0,0.5,6.7,2.0,1.0,0,1
2008-10-15,23.0,33.8,27.2,78.0,0.0,8.0,2.0,0.0,0,1
2008-10-16,23.0,32.6,25.3,84.0,17.45,6.6,3.0,1.0,0,1
2008-10-17,21.0,33.0,27.2,90.0,34.9,7.7,3.0,0.0,0,1
2008-10-18,22.0,33.2,27.7,85.0,37.5,7.6,4.0,1.0,0,1
2008-10-19,23.0,33.3,26.3,82.0,1.0,5.8,2.0,1.0,0,1
2008-10-20,23.0,33.6,26.5,84.0,2.4,7.6,1.0,1.0,0,1
2008-10-21,24.0,33.1,27.1,80.0,19.7,7.7,4.0,1.0,0,1
2008-10-22,23.0,32.6,27.8,80.0,15.9,7.0,2.0,1.0,0,1
2008-10-23,23.0,30.2,26.3,92.0,12.1,0.7,4.0,1.0,0,1
2008-10-24,23.0,28.6,26.0,92.0,5.5,0.0,1.0,0.0,0,1
2008-10-25,22.0,31.4,26.5,86.0,2.75,3.0,2.0,0.0,0,1
2008-10-26,22.0,32.3,27.2,82.0,0.0,5.5,2.0,1.0,0,1
2008-10-27,22.0,31.8,27.3,86.0,3.0,3.9,4.0,1.0,0,1
2008-10-28,22.0,31.2,27.5,85.0,0.4,3.5,2.0,1.0,0,1
2008-10-29,21.0,28.8,24.7,78.0,43.2,0.5,2.0,2.0,0,1
2008-10-30,20.0,31.7,25.7,82.0,0.1,5.3,2.0,1.0,0,1
2008-10-31,22.0,32.2,26.9,78.0,0.0,7.0,3.0,1.0,0,1
2008-11-01,22.0,32.3,26.3,84.0,89.4,5.8,3.0,1.0,0,1
2008-11-02,23.0,32.0,25.6,91.0,5.8,4.6,3.0,0.0,0,1
2008-11-03,22.0,30.9,26.1,87.0,83.2,1.4,2.0,1.0,0,1
2008-11-04,23.0,32.1,25.6,86.0,1.0,2.8,3.0,1.0,0,1
